vin_label,in_service,historical_failure,current_age_days,ridge_prob,risk_tier,state,fleet_clock_rul_days,replacement_status,ged_storm_active,ged_ever_fired,ged_lead_days,ged_storm_days_60d,collapse_alert,cov_30d,cov_60d,last_obs_age_days,staleness_days,data_gap_flag,recommended_action,risk_rank_in_service
VIN1_F_ALT,False,True,596.0,0.6058,HIGH_RISK,DEGRADING,5.0,DUE SOON (~5d to fleet median),True,True,21.0,11,False,0.73,0.87,596,,False,URGENT: GED2 excitation-fault storm active — inspect alternator within ~3 weeks.,
VIN10_F_ALT,False,True,472.0,0.6263,HIGH_RISK,LATE,129.0,Plan <6mo (~129d to fleet median),False,True,1.0,1,True,0.77,0.88,472,,False,"IMMEDIATE: voltage-collapse signature today — dispatch to depot now (reactive, not preventive).",
VIN2_F_ALT,False,True,627.0,0.6085,HIGH_RISK,LATE,0.0,OVERDUE (+26d past fleet median 601d),False,False,,0,True,0.8,0.75,627,,False,"IMMEDIATE: voltage-collapse signature today — dispatch to depot now (reactive, not preventive).",
VIN3_F_ALT,False,True,591.0,0.7603,HIGH_RISK,NORMAL,10.0,DUE SOON (~10d to fleet median),False,False,,0,False,1.0,0.97,591,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN4_F_ALT,False,True,664.0,0.4456,HIGH_RISK,NORMAL,0.0,OVERDUE (+63d past fleet median 601d),False,False,,0,False,0.9,0.93,664,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN5_F_ALT,False,True,661.0,0.2799,LOW_RISK,NORMAL,0.0,OVERDUE (+60d past fleet median 601d),False,False,,0,False,0.97,0.97,661,,False,Schedule alternator inspection: past fleet median wear-out age.,
VIN6_F_ALT,False,True,552.0,0.7112,HIGH_RISK,NORMAL,49.0,DUE SOON (~49d to fleet median),False,False,,0,False,1.0,0.83,552,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN7_F_ALT,False,True,673.0,0.7178,HIGH_RISK,NORMAL,0.0,OVERDUE (+72d past fleet median 601d),False,False,,0,False,0.93,0.93,673,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN8_F_ALT,False,True,573.0,0.8923,HIGH_RISK,NORMAL,28.0,DUE SOON (~28d to fleet median),False,False,,0,False,0.1,0.38,573,,True,BLIND: telemetry stale/sparse — cannot monitor; fall back to fleet-clock schedule & fix telematics (or confirm decommissioned).,
VIN9_F_ALT,False,True,606.0,0.4919,HIGH_RISK,NORMAL,0.0,OVERDUE (+5d past fleet median 601d),False,False,,0,False,0.8,0.78,606,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN1_NF_ALT,True,False,747.0,0.2553,LOW_RISK,NORMAL,0.0,OVERDUE (+146d past fleet median 601d),False,False,,0,False,1.0,1.0,747,0,False,Schedule alternator inspection: past fleet median wear-out age.,12
VIN10_NF_ALT,True,False,761.0,0.4389,LOW_RISK,NORMAL,0.0,OVERDUE (+160d past fleet median 601d),False,False,,0,False,1.0,1.0,760,0,False,Schedule alternator inspection: past fleet median wear-out age.,2
